"Potential, V ( 5mV/s)"	"Current, A ( 5 mV/s)"	"Potential, V ( 10mV/s)"	"Current, A ( 10 mV/s)"	"Potential, V ( 25mV/s)"	"Current, A ( 25 mV/s)"	"Potential, V ( 50mV/s)"	"Current, A ( 50 mV/s)"	"Potential, V ( 100mV/s)"	"Current, A ( 100 mV/s)"	"Potential, V ( 200 mV/s)"	"Current, A ( 200 mV/s)"	"Potential, V ( 400 mV/s)"	"Current, A ( 400 mV/s)"
-0.595	-3.36E-06	-0.595	-3.07E-06	-0.595	-3.99E-06	-0.595	-5.40E-06	-0.595	-7.68E-06	-0.595	-1.08E-05	-0.595	-1.55E-05
-0.596	-3.36E-06	-0.596	-3.07E-06	-0.596	-3.98E-06	-0.596	-5.40E-06	-0.596	-7.68E-06	-0.596	-1.08E-05	-0.596	-1.55E-05
-0.597	-3.36E-06	-0.597	-3.07E-06	-0.597	-3.98E-06	-0.597	-5.39E-06	-0.597	-7.67E-06	-0.597	-1.08E-05	-0.597	-1.55E-05
-0.598	-3.37E-06	-0.598	-3.07E-06	-0.598	-3.98E-06	-0.598	-5.39E-06	-0.598	-7.67E-06	-0.598	-1.08E-05	-0.598	-1.55E-05
-0.599	-3.37E-06	-0.599	-3.07E-06	-0.599	-3.98E-06	-0.599	-5.38E-06	-0.599	-7.66E-06	-0.599	-1.08E-05	-0.599	-1.55E-05
-0.6	-3.36E-06	-0.6	-3.04E-06	-0.6	-3.90E-06	-0.6	-5.31E-06	-0.6	-7.50E-06	-0.6	-1.02E-05	-0.6	-1.49E-05
-0.599	-3.32E-06	-0.599	-2.99E-06	-0.599	-3.80E-06	-0.599	-5.12E-06	-0.599	-7.18E-06	-0.599	-9.75E-06	-0.599	-1.38E-05
-0.598	-3.31E-06	-0.598	-2.97E-06	-0.598	-3.77E-06	-0.598	-5.04E-06	-0.598	-7.05E-06	-0.598	-9.61E-06	-0.598	-1.35E-05
-0.597	-3.30E-06	-0.597	-2.95E-06	-0.597	-3.74E-06	-0.597	-4.99E-06	-0.597	-6.97E-06	-0.597	-9.50E-06	-0.597	-1.33E-05
-0.596	-3.29E-06	-0.596	-2.94E-06	-0.596	-3.72E-06	-0.596	-4.95E-06	-0.596	-6.91E-06	-0.596	-9.41E-06	-0.596	-1.32E-05
-0.595	-3.29E-06	-0.595	-2.93E-06	-0.595	-3.69E-06	-0.595	-4.92E-06	-0.595	-6.86E-06	-0.595	-9.34E-06	-0.595	-1.30E-05
-0.594	-3.28E-06	-0.594	-2.92E-06	-0.594	-3.68E-06	-0.594	-4.89E-06	-0.594	-6.81E-06	-0.594	-9.27E-06	-0.594	-1.29E-05
-0.593	-3.28E-06	-0.593	-2.91E-06	-0.593	-3.66E-06	-0.593	-4.86E-06	-0.593	-6.77E-06	-0.593	-9.19E-06	-0.593	-1.28E-05
-0.592	-3.27E-06	-0.592	-2.90E-06	-0.592	-3.64E-06	-0.592	-4.83E-06	-0.592	-6.73E-06	-0.592	-9.14E-06	-0.592	-1.27E-05
-0.591	-3.27E-06	-0.591	-2.90E-06	-0.591	-3.62E-06	-0.591	-4.80E-06	-0.591	-6.68E-06	-0.591	-9.08E-06	-0.591	-1.26E-05
-0.59	-3.27E-06	-0.59	-2.89E-06	-0.59	-3.61E-06	-0.59	-4.78E-06	-0.59	-6.65E-06	-0.59	-9.02E-06	-0.59	-1.25E-05
-0.589	-3.26E-06	-0.589	-2.88E-06	-0.589	-3.60E-06	-0.589	-4.76E-06	-0.589	-6.61E-06	-0.589	-8.96E-06	-0.589	-1.24E-05
-0.588	-3.26E-06	-0.588	-2.88E-06	-0.588	-3.58E-06	-0.588	-4.73E-06	-0.588	-6.58E-06	-0.588	-8.91E-06	-0.588	-1.24E-05
-0.587	-3.26E-06	-0.587	-2.87E-06	-0.587	-3.57E-06	-0.587	-4.71E-06	-0.587	-6.54E-06	-0.587	-8.86E-06	-0.587	-1.23E-05
-0.586	-3.25E-06	-0.586	-2.86E-06	-0.586	-3.56E-06	-0.586	-4.69E-06	-0.586	-6.51E-06	-0.586	-8.82E-06	-0.586	-1.22E-05
-0.585	-3.25E-06	-0.585	-2.86E-06	-0.585	-3.54E-06	-0.585	-4.67E-06	-0.585	-6.48E-06	-0.585	-8.76E-06	-0.585	-1.21E-05
-0.584	-3.25E-06	-0.584	-2.85E-06	-0.584	-3.53E-06	-0.584	-4.65E-06	-0.584	-6.45E-06	-0.584	-8.72E-06	-0.584	-1.21E-05
-0.583	-3.24E-06	-0.583	-2.85E-06	-0.583	-3.52E-06	-0.583	-4.63E-06	-0.583	-6.42E-06	-0.583	-8.68E-06	-0.583	-1.20E-05
-0.582	-3.24E-06	-0.582	-2.84E-06	-0.582	-3.51E-06	-0.582	-4.61E-06	-0.582	-6.39E-06	-0.582	-8.64E-06	-0.582	-1.19E-05
-0.581	-3.24E-06	-0.581	-2.84E-06	-0.581	-3.50E-06	-0.581	-4.60E-06	-0.581	-6.36E-06	-0.581	-8.59E-06	-0.581	-1.19E-05
-0.58	-3.24E-06	-0.58	-2.83E-06	-0.58	-3.49E-06	-0.58	-4.58E-06	-0.58	-6.34E-06	-0.58	-8.55E-06	-0.58	-1.18E-05
-0.579	-3.24E-06	-0.579	-2.83E-06	-0.579	-3.48E-06	-0.579	-4.56E-06	-0.579	-6.31E-06	-0.579	-8.52E-06	-0.579	-1.18E-05
-0.578	-3.23E-06	-0.578	-2.82E-06	-0.578	-3.47E-06	-0.578	-4.54E-06	-0.578	-6.29E-06	-0.578	-8.48E-06	-0.578	-1.17E-05
-0.577	-3.23E-06	-0.577	-2.82E-06	-0.577	-3.46E-06	-0.577	-4.53E-06	-0.577	-6.26E-06	-0.577	-8.43E-06	-0.577	-1.16E-05
-0.576	-3.23E-06	-0.576	-2.82E-06	-0.576	-3.45E-06	-0.576	-4.51E-06	-0.576	-6.24E-06	-0.576	-8.40E-06	-0.576	-1.16E-05
-0.575	-3.23E-06	-0.575	-2.81E-06	-0.575	-3.44E-06	-0.575	-4.50E-06	-0.575	-6.21E-06	-0.575	-8.37E-06	-0.575	-1.15E-05
-0.574	-3.23E-06	-0.574	-2.81E-06	-0.574	-3.43E-06	-0.574	-4.48E-06	-0.574	-6.19E-06	-0.574	-8.33E-06	-0.574	-1.15E-05
-0.573	-3.22E-06	-0.573	-2.80E-06	-0.573	-3.42E-06	-0.573	-4.47E-06	-0.573	-6.16E-06	-0.573	-8.29E-06	-0.573	-1.14E-05
-0.572	-3.22E-06	-0.572	-2.80E-06	-0.572	-3.41E-06	-0.572	-4.45E-06	-0.572	-6.14E-06	-0.572	-8.26E-06	-0.572	-1.14E-05
-0.571	-3.22E-06	-0.571	-2.80E-06	-0.571	-3.40E-06	-0.571	-4.44E-06	-0.571	-6.12E-06	-0.571	-8.23E-06	-0.571	-1.13E-05
-0.57	-3.22E-06	-0.57	-2.79E-06	-0.57	-3.39E-06	-0.57	-4.42E-06	-0.57	-6.10E-06	-0.57	-8.20E-06	-0.57	-1.13E-05
-0.569	-3.22E-06	-0.569	-2.79E-06	-0.569	-3.38E-06	-0.569	-4.41E-06	-0.569	-6.07E-06	-0.569	-8.15E-06	-0.569	-1.12E-05
-0.568	-3.22E-06	-0.568	-2.79E-06	-0.568	-3.38E-06	-0.568	-4.39E-06	-0.568	-6.05E-06	-0.568	-8.13E-06	-0.568	-1.12E-05
-0.567	-3.21E-06	-0.567	-2.78E-06	-0.567	-3.37E-06	-0.567	-4.38E-06	-0.567	-6.03E-06	-0.567	-8.10E-06	-0.567	-1.11E-05
-0.566	-3.21E-06	-0.566	-2.78E-06	-0.566	-3.36E-06	-0.566	-4.37E-06	-0.566	-6.01E-06	-0.566	-8.06E-06	-0.566	-1.11E-05
-0.565	-3.21E-06	-0.565	-2.78E-06	-0.565	-3.35E-06	-0.565	-4.35E-06	-0.565	-5.99E-06	-0.565	-8.03E-06	-0.565	-1.10E-05
-0.564	-3.21E-06	-0.564	-2.77E-06	-0.564	-3.34E-06	-0.564	-4.34E-06	-0.564	-5.97E-06	-0.564	-8.00E-06	-0.564	-1.10E-05
-0.563	-3.21E-06	-0.563	-2.77E-06	-0.563	-3.34E-06	-0.563	-4.33E-06	-0.563	-5.95E-06	-0.563	-7.97E-06	-0.563	-1.09E-05
-0.562	-3.21E-06	-0.562	-2.77E-06	-0.562	-3.33E-06	-0.562	-4.32E-06	-0.562	-5.93E-06	-0.562	-7.95E-06	-0.562	-1.09E-05
-0.561	-3.21E-06	-0.561	-2.77E-06	-0.561	-3.32E-06	-0.561	-4.30E-06	-0.561	-5.91E-06	-0.561	-7.91E-06	-0.561	-1.08E-05
-0.56	-3.20E-06	-0.56	-2.76E-06	-0.56	-3.31E-06	-0.56	-4.29E-06	-0.56	-5.89E-06	-0.56	-7.89E-06	-0.56	-1.08E-05
-0.559	-3.20E-06	-0.559	-2.76E-06	-0.559	-3.31E-06	-0.559	-4.28E-06	-0.559	-5.87E-06	-0.559	-7.86E-06	-0.559	-1.07E-05
-0.558	-3.20E-06	-0.558	-2.76E-06	-0.558	-3.30E-06	-0.558	-4.27E-06	-0.558	-5.85E-06	-0.558	-7.83E-06	-0.558	-1.07E-05
-0.557	-3.20E-06	-0.557	-2.75E-06	-0.557	-3.29E-06	-0.557	-4.26E-06	-0.557	-5.83E-06	-0.557	-7.80E-06	-0.557	-1.07E-05
-0.556	-3.20E-06	-0.556	-2.75E-06	-0.556	-3.29E-06	-0.556	-4.24E-06	-0.556	-5.82E-06	-0.556	-7.77E-06	-0.556	-1.06E-05
-0.555	-3.20E-06	-0.555	-2.75E-06	-0.555	-3.28E-06	-0.555	-4.23E-06	-0.555	-5.80E-06	-0.555	-7.75E-06	-0.555	-1.06E-05
-0.554	-3.20E-06	-0.554	-2.75E-06	-0.554	-3.27E-06	-0.554	-4.22E-06	-0.554	-5.78E-06	-0.554	-7.72E-06	-0.554	-1.06E-05
-0.553	-3.19E-06	-0.553	-2.74E-06	-0.553	-3.27E-06	-0.553	-4.21E-06	-0.553	-5.76E-06	-0.553	-7.69E-06	-0.553	-1.05E-05
-0.552	-3.19E-06	-0.552	-2.74E-06	-0.552	-3.26E-06	-0.552	-4.20E-06	-0.552	-5.75E-06	-0.552	-7.67E-06	-0.552	-1.05E-05
-0.551	-3.19E-06	-0.551	-2.74E-06	-0.551	-3.25E-06	-0.551	-4.19E-06	-0.551	-5.73E-06	-0.551	-7.64E-06	-0.551	-1.04E-05
-0.55	-3.19E-06	-0.55	-2.73E-06	-0.55	-3.25E-06	-0.55	-4.18E-06	-0.55	-5.71E-06	-0.55	-7.62E-06	-0.55	-1.04E-05
-0.549	-3.19E-06	-0.549	-2.73E-06	-0.549	-3.24E-06	-0.549	-4.17E-06	-0.549	-5.69E-06	-0.549	-7.59E-06	-0.549	-1.04E-05
-0.548	-3.19E-06	-0.548	-2.73E-06	-0.548	-3.23E-06	-0.548	-4.15E-06	-0.548	-5.68E-06	-0.548	-7.56E-06	-0.548	-1.03E-05
-0.547	-3.19E-06	-0.547	-2.73E-06	-0.547	-3.23E-06	-0.547	-4.14E-06	-0.547	-5.66E-06	-0.547	-7.54E-06	-0.547	-1.03E-05
-0.546	-3.18E-06	-0.546	-2.73E-06	-0.546	-3.22E-06	-0.546	-4.13E-06	-0.546	-5.64E-06	-0.546	-7.52E-06	-0.546	-1.03E-05
-0.545	-3.18E-06	-0.545	-2.72E-06	-0.545	-3.21E-06	-0.545	-4.12E-06	-0.545	-5.63E-06	-0.545	-7.49E-06	-0.545	-1.02E-05
-0.544	-3.18E-06	-0.544	-2.72E-06	-0.544	-3.21E-06	-0.544	-4.11E-06	-0.544	-5.61E-06	-0.544	-7.47E-06	-0.544	-1.02E-05
-0.543	-3.18E-06	-0.543	-2.72E-06	-0.543	-3.20E-06	-0.543	-4.10E-06	-0.543	-5.59E-06	-0.543	-7.45E-06	-0.543	-1.01E-05
-0.542	-3.18E-06	-0.542	-2.72E-06	-0.542	-3.20E-06	-0.542	-4.09E-06	-0.542	-5.58E-06	-0.542	-7.42E-06	-0.542	-1.01E-05
-0.541	-3.18E-06	-0.541	-2.71E-06	-0.541	-3.19E-06	-0.541	-4.08E-06	-0.541	-5.56E-06	-0.541	-7.39E-06	-0.541	-1.01E-05
-0.54	-3.18E-06	-0.54	-2.71E-06	-0.54	-3.19E-06	-0.54	-4.07E-06	-0.54	-5.55E-06	-0.54	-7.37E-06	-0.54	-1.00E-05
-0.539	-3.18E-06	-0.539	-2.71E-06	-0.539	-3.18E-06	-0.539	-4.06E-06	-0.539	-5.53E-06	-0.539	-7.35E-06	-0.539	-1.00E-05
-0.538	-3.18E-06	-0.538	-2.71E-06	-0.538	-3.17E-06	-0.538	-4.05E-06	-0.538	-5.52E-06	-0.538	-7.33E-06	-0.538	-9.97E-06
-0.537	-3.17E-06	-0.537	-2.70E-06	-0.537	-3.17E-06	-0.537	-4.04E-06	-0.537	-5.50E-06	-0.537	-7.30E-06	-0.537	-9.94E-06
-0.536	-3.17E-06	-0.536	-2.70E-06	-0.536	-3.16E-06	-0.536	-4.03E-06	-0.536	-5.49E-06	-0.536	-7.28E-06	-0.536	-9.90E-06
-0.535	-3.17E-06	-0.535	-2.70E-06	-0.535	-3.16E-06	-0.535	-4.02E-06	-0.535	-5.47E-06	-0.535	-7.26E-06	-0.535	-9.87E-06
-0.534	-3.17E-06	-0.534	-2.70E-06	-0.534	-3.15E-06	-0.534	-4.01E-06	-0.534	-5.46E-06	-0.534	-7.24E-06	-0.534	-9.83E-06
-0.533	-3.17E-06	-0.533	-2.70E-06	-0.533	-3.15E-06	-0.533	-4.01E-06	-0.533	-5.44E-06	-0.533	-7.21E-06	-0.533	-9.81E-06
-0.532	-3.17E-06	-0.532	-2.69E-06	-0.532	-3.14E-06	-0.532	-4.00E-06	-0.532	-5.43E-06	-0.532	-7.19E-06	-0.532	-9.76E-06
-0.531	-3.17E-06	-0.531	-2.69E-06	-0.531	-3.14E-06	-0.531	-3.99E-06	-0.531	-5.41E-06	-0.531	-7.17E-06	-0.531	-9.75E-06
-0.53	-3.17E-06	-0.53	-2.69E-06	-0.53	-3.13E-06	-0.53	-3.98E-06	-0.53	-5.40E-06	-0.53	-7.15E-06	-0.53	-9.70E-06
-0.529	-3.16E-06	-0.529	-2.69E-06	-0.529	-3.12E-06	-0.529	-3.97E-06	-0.529	-5.38E-06	-0.529	-7.12E-06	-0.529	-9.68E-06
-0.528	-3.16E-06	-0.528	-2.69E-06	-0.528	-3.12E-06	-0.528	-3.96E-06	-0.528	-5.37E-06	-0.528	-7.11E-06	-0.528	-9.65E-06
-0.527	-3.16E-06	-0.527	-2.68E-06	-0.527	-3.11E-06	-0.527	-3.95E-06	-0.527	-5.35E-06	-0.527	-7.09E-06	-0.527	-9.61E-06
-0.526	-3.16E-06	-0.526	-2.68E-06	-0.526	-3.11E-06	-0.526	-3.94E-06	-0.526	-5.34E-06	-0.526	-7.06E-06	-0.526	-9.57E-06
-0.525	-3.16E-06	-0.525	-2.68E-06	-0.525	-3.10E-06	-0.525	-3.93E-06	-0.525	-5.33E-06	-0.525	-7.04E-06	-0.525	-9.55E-06
-0.524	-3.16E-06	-0.524	-2.68E-06	-0.524	-3.10E-06	-0.524	-3.92E-06	-0.524	-5.31E-06	-0.524	-7.02E-06	-0.524	-9.51E-06
-0.523	-3.16E-06	-0.523	-2.68E-06	-0.523	-3.09E-06	-0.523	-3.92E-06	-0.523	-5.30E-06	-0.523	-7.00E-06	-0.523	-9.50E-06
-0.522	-3.16E-06	-0.522	-2.67E-06	-0.522	-3.09E-06	-0.522	-3.91E-06	-0.522	-5.29E-06	-0.522	-6.98E-06	-0.522	-9.45E-06
-0.521	-3.15E-06	-0.521	-2.67E-06	-0.521	-3.08E-06	-0.521	-3.90E-06	-0.521	-5.27E-06	-0.521	-6.96E-06	-0.521	-9.44E-06
-0.52	-3.15E-06	-0.52	-2.67E-06	-0.52	-3.08E-06	-0.52	-3.89E-06	-0.52	-5.26E-06	-0.52	-6.94E-06	-0.52	-9.40E-06
-0.519	-3.15E-06	-0.519	-2.67E-06	-0.519	-3.07E-06	-0.519	-3.88E-06	-0.519	-5.24E-06	-0.519	-6.92E-06	-0.519	-9.37E-06
-0.518	-3.15E-06	-0.518	-2.67E-06	-0.518	-3.07E-06	-0.518	-3.87E-06	-0.518	-5.23E-06	-0.518	-6.90E-06	-0.518	-9.34E-06
-0.517	-3.15E-06	-0.517	-2.67E-06	-0.517	-3.06E-06	-0.517	-3.86E-06	-0.517	-5.22E-06	-0.517	-6.88E-06	-0.517	-9.32E-06
-0.516	-3.15E-06	-0.516	-2.66E-06	-0.516	-3.06E-06	-0.516	-3.86E-06	-0.516	-5.21E-06	-0.516	-6.86E-06	-0.516	-9.29E-06
-0.515	-3.15E-06	-0.515	-2.66E-06	-0.515	-3.05E-06	-0.515	-3.85E-06	-0.515	-5.19E-06	-0.515	-6.84E-06	-0.515	-9.26E-06
-0.514	-3.15E-06	-0.514	-2.66E-06	-0.514	-3.05E-06	-0.514	-3.84E-06	-0.514	-5.18E-06	-0.514	-6.83E-06	-0.514	-9.23E-06
-0.513	-3.14E-06	-0.513	-2.66E-06	-0.513	-3.04E-06	-0.513	-3.83E-06	-0.513	-5.17E-06	-0.513	-6.80E-06	-0.513	-9.20E-06
-0.512	-3.14E-06	-0.512	-2.66E-06	-0.512	-3.04E-06	-0.512	-3.82E-06	-0.512	-5.15E-06	-0.512	-6.78E-06	-0.512	-9.17E-06
-0.511	-3.14E-06	-0.511	-2.65E-06	-0.511	-3.03E-06	-0.511	-3.81E-06	-0.511	-5.14E-06	-0.511	-6.77E-06	-0.511	-9.13E-06
-0.51	-3.14E-06	-0.51	-2.65E-06	-0.51	-3.03E-06	-0.51	-3.81E-06	-0.51	-5.13E-06	-0.51	-6.74E-06	-0.51	-9.11E-06
-0.509	-3.14E-06	-0.509	-2.65E-06	-0.509	-3.03E-06	-0.509	-3.80E-06	-0.509	-5.11E-06	-0.509	-6.73E-06	-0.509	-9.08E-06
-0.508	-3.14E-06	-0.508	-2.65E-06	-0.508	-3.02E-06	-0.508	-3.79E-06	-0.508	-5.10E-06	-0.508	-6.71E-06	-0.508	-9.06E-06
-0.507	-3.14E-06	-0.507	-2.65E-06	-0.507	-3.02E-06	-0.507	-3.78E-06	-0.507	-5.09E-06	-0.507	-6.69E-06	-0.507	-9.03E-06
-0.506	-3.14E-06	-0.506	-2.65E-06	-0.506	-3.01E-06	-0.506	-3.77E-06	-0.506	-5.08E-06	-0.506	-6.67E-06	-0.506	-9.00E-06
-0.505	-3.13E-06	-0.505	-2.64E-06	-0.505	-3.01E-06	-0.505	-3.77E-06	-0.505	-5.06E-06	-0.505	-6.65E-06	-0.505	-8.97E-06
-0.504	-3.13E-06	-0.504	-2.64E-06	-0.504	-3.00E-06	-0.504	-3.76E-06	-0.504	-5.05E-06	-0.504	-6.63E-06	-0.504	-8.95E-06
-0.503	-3.13E-06	-0.503	-2.64E-06	-0.503	-3.00E-06	-0.503	-3.75E-06	-0.503	-5.04E-06	-0.503	-6.62E-06	-0.503	-8.90E-06
-0.502	-3.13E-06	-0.502	-2.64E-06	-0.502	-2.99E-06	-0.502	-3.74E-06	-0.502	-5.03E-06	-0.502	-6.60E-06	-0.502	-8.89E-06
-0.501	-3.13E-06	-0.501	-2.64E-06	-0.501	-2.99E-06	-0.501	-3.74E-06	-0.501	-5.01E-06	-0.501	-6.58E-06	-0.501	-8.86E-06
-0.5	-3.13E-06	-0.5	-2.64E-06	-0.5	-2.98E-06	-0.5	-3.73E-06	-0.5	-5.00E-06	-0.5	-6.56E-06	-0.5	-8.84E-06
-0.499	-3.13E-06	-0.499	-2.63E-06	-0.499	-2.98E-06	-0.499	-3.72E-06	-0.499	-4.99E-06	-0.499	-6.54E-06	-0.499	-8.81E-06
-0.498	-3.12E-06	-0.498	-2.63E-06	-0.498	-2.97E-06	-0.498	-3.71E-06	-0.498	-4.98E-06	-0.498	-6.53E-06	-0.498	-8.80E-06
-0.497	-3.12E-06	-0.497	-2.63E-06	-0.497	-2.97E-06	-0.497	-3.70E-06	-0.497	-4.97E-06	-0.497	-6.50E-06	-0.497	-8.76E-06
-0.496	-3.12E-06	-0.496	-2.63E-06	-0.496	-2.96E-06	-0.496	-3.70E-06	-0.496	-4.96E-06	-0.496	-6.49E-06	-0.496	-8.75E-06
-0.495	-3.12E-06	-0.495	-2.63E-06	-0.495	-2.96E-06	-0.495	-3.69E-06	-0.495	-4.94E-06	-0.495	-6.47E-06	-0.495	-8.70E-06
-0.494	-3.12E-06	-0.494	-2.63E-06	-0.494	-2.96E-06	-0.494	-3.68E-06	-0.494	-4.93E-06	-0.494	-6.45E-06	-0.494	-8.69E-06
-0.493	-3.12E-06	-0.493	-2.62E-06	-0.493	-2.95E-06	-0.493	-3.67E-06	-0.493	-4.92E-06	-0.493	-6.43E-06	-0.493	-8.66E-06
-0.492	-3.12E-06	-0.492	-2.62E-06	-0.492	-2.95E-06	-0.492	-3.67E-06	-0.492	-4.91E-06	-0.492	-6.42E-06	-0.492	-8.63E-06
-0.491	-3.12E-06	-0.491	-2.62E-06	-0.491	-2.94E-06	-0.491	-3.66E-06	-0.491	-4.89E-06	-0.491	-6.40E-06	-0.491	-8.61E-06
-0.49	-3.11E-06	-0.49	-2.62E-06	-0.49	-2.94E-06	-0.49	-3.65E-06	-0.49	-4.88E-06	-0.49	-6.38E-06	-0.49	-8.58E-06
-0.489	-3.11E-06	-0.489	-2.62E-06	-0.489	-2.93E-06	-0.489	-3.64E-06	-0.489	-4.87E-06	-0.489	-6.36E-06	-0.489	-8.55E-06
-0.488	-3.11E-06	-0.488	-2.62E-06	-0.488	-2.93E-06	-0.488	-3.64E-06	-0.488	-4.86E-06	-0.488	-6.35E-06	-0.488	-8.53E-06
-0.487	-3.11E-06	-0.487	-2.61E-06	-0.487	-2.92E-06	-0.487	-3.63E-06	-0.487	-4.85E-06	-0.487	-6.33E-06	-0.487	-8.50E-06
-0.486	-3.11E-06	-0.486	-2.61E-06	-0.486	-2.92E-06	-0.486	-3.62E-06	-0.486	-4.84E-06	-0.486	-6.31E-06	-0.486	-8.47E-06
-0.485	-3.11E-06	-0.485	-2.61E-06	-0.485	-2.92E-06	-0.485	-3.61E-06	-0.485	-4.82E-06	-0.485	-6.30E-06	-0.485	-8.46E-06
-0.484	-3.11E-06	-0.484	-2.61E-06	-0.484	-2.91E-06	-0.484	-3.61E-06	-0.484	-4.81E-06	-0.484	-6.28E-06	-0.484	-8.42E-06
-0.483	-3.10E-06	-0.483	-2.61E-06	-0.483	-2.91E-06	-0.483	-3.60E-06	-0.483	-4.80E-06	-0.483	-6.26E-06	-0.483	-8.41E-06
-0.482	-3.10E-06	-0.482	-2.61E-06	-0.482	-2.90E-06	-0.482	-3.59E-06	-0.482	-4.79E-06	-0.482	-6.25E-06	-0.482	-8.38E-06
-0.481	-3.10E-06	-0.481	-2.60E-06	-0.481	-2.90E-06	-0.481	-3.58E-06	-0.481	-4.78E-06	-0.481	-6.22E-06	-0.481	-8.36E-06
-0.48	-3.10E-06	-0.48	-2.60E-06	-0.48	-2.89E-06	-0.48	-3.58E-06	-0.48	-4.77E-06	-0.48	-6.21E-06	-0.48	-8.33E-06
-0.479	-3.10E-06	-0.479	-2.60E-06	-0.479	-2.89E-06	-0.479	-3.57E-06	-0.479	-4.76E-06	-0.479	-6.20E-06	-0.479	-8.30E-06
-0.478	-3.10E-06	-0.478	-2.60E-06	-0.478	-2.89E-06	-0.478	-3.56E-06	-0.478	-4.75E-06	-0.478	-6.18E-06	-0.478	-8.27E-06
-0.477	-3.10E-06	-0.477	-2.60E-06	-0.477	-2.88E-06	-0.477	-3.56E-06	-0.477	-4.73E-06	-0.477	-6.16E-06	-0.477	-8.26E-06
-0.476	-3.10E-06	-0.476	-2.60E-06	-0.476	-2.88E-06	-0.476	-3.55E-06	-0.476	-4.72E-06	-0.476	-6.14E-06	-0.476	-8.23E-06
-0.475	-3.09E-06	-0.475	-2.59E-06	-0.475	-2.87E-06	-0.475	-3.54E-06	-0.475	-4.71E-06	-0.475	-6.13E-06	-0.475	-8.22E-06
-0.474	-3.09E-06	-0.474	-2.59E-06	-0.474	-2.87E-06	-0.474	-3.53E-06	-0.474	-4.70E-06	-0.474	-6.11E-06	-0.474	-8.18E-06
-0.473	-3.09E-06	-0.473	-2.59E-06	-0.473	-2.86E-06	-0.473	-3.53E-06	-0.473	-4.69E-06	-0.473	-6.09E-06	-0.473	-8.17E-06
-0.472	-3.09E-06	-0.472	-2.59E-06	-0.472	-2.86E-06	-0.472	-3.52E-06	-0.472	-4.68E-06	-0.472	-6.08E-06	-0.472	-8.13E-06
-0.471	-3.09E-06	-0.471	-2.59E-06	-0.471	-2.86E-06	-0.471	-3.51E-06	-0.471	-4.67E-06	-0.471	-6.06E-06	-0.471	-8.11E-06
-0.47	-3.09E-06	-0.47	-2.59E-06	-0.47	-2.85E-06	-0.47	-3.51E-06	-0.47	-4.66E-06	-0.47	-6.04E-06	-0.47	-8.08E-06
-0.469	-3.09E-06	-0.469	-2.58E-06	-0.469	-2.85E-06	-0.469	-3.50E-06	-0.469	-4.64E-06	-0.469	-6.03E-06	-0.469	-8.07E-06
-0.468	-3.08E-06	-0.468	-2.58E-06	-0.468	-2.84E-06	-0.468	-3.49E-06	-0.468	-4.63E-06	-0.468	-6.01E-06	-0.468	-8.03E-06
-0.467	-3.08E-06	-0.467	-2.58E-06	-0.467	-2.84E-06	-0.467	-3.48E-06	-0.467	-4.62E-06	-0.467	-6.00E-06	-0.467	-8.02E-06
-0.466	-3.08E-06	-0.466	-2.58E-06	-0.466	-2.84E-06	-0.466	-3.48E-06	-0.466	-4.61E-06	-0.466	-5.98E-06	-0.466	-7.99E-06
-0.465	-3.08E-06	-0.465	-2.58E-06	-0.465	-2.83E-06	-0.465	-3.47E-06	-0.465	-4.60E-06	-0.465	-5.96E-06	-0.465	-7.98E-06
-0.464	-3.08E-06	-0.464	-2.58E-06	-0.464	-2.83E-06	-0.464	-3.46E-06	-0.464	-4.59E-06	-0.464	-5.95E-06	-0.464	-7.94E-06
-0.463	-3.08E-06	-0.463	-2.57E-06	-0.463	-2.82E-06	-0.463	-3.46E-06	-0.463	-4.58E-06	-0.463	-5.93E-06	-0.463	-7.92E-06
-0.462	-3.07E-06	-0.462	-2.57E-06	-0.462	-2.82E-06	-0.462	-3.45E-06	-0.462	-4.57E-06	-0.462	-5.92E-06	-0.462	-7.89E-06
-0.461	-3.07E-06	-0.461	-2.57E-06	-0.461	-2.82E-06	-0.461	-3.44E-06	-0.461	-4.56E-06	-0.461	-5.90E-06	-0.461	-7.88E-06
-0.46	-3.07E-06	-0.46	-2.57E-06	-0.46	-2.81E-06	-0.46	-3.44E-06	-0.46	-4.55E-06	-0.46	-5.88E-06	-0.46	-7.85E-06
-0.459	-3.07E-06	-0.459	-2.57E-06	-0.459	-2.81E-06	-0.459	-3.43E-06	-0.459	-4.53E-06	-0.459	-5.87E-06	-0.459	-7.83E-06
-0.458	-3.07E-06	-0.458	-2.57E-06	-0.458	-2.80E-06	-0.458	-3.42E-06	-0.458	-4.52E-06	-0.458	-5.86E-06	-0.458	-7.80E-06
-0.457	-3.07E-06	-0.457	-2.56E-06	-0.457	-2.80E-06	-0.457	-3.42E-06	-0.457	-4.51E-06	-0.457	-5.83E-06	-0.457	-7.78E-06
-0.456	-3.07E-06	-0.456	-2.56E-06	-0.456	-2.79E-06	-0.456	-3.41E-06	-0.456	-4.50E-06	-0.456	-5.82E-06	-0.456	-7.77E-06
-0.455	-3.06E-06	-0.455	-2.56E-06	-0.455	-2.79E-06	-0.455	-3.40E-06	-0.455	-4.49E-06	-0.455	-5.81E-06	-0.455	-7.73E-06
